Date,gold_prices
1/1/2020,775
1/2/2020,776
1/3/2020,786
1/4/2020,791
1/5/2020,792
1/6/2020,802
1/7/2020,802
1/8/2020,808
1/9/2020,785
1/10/2020,787
1/11/2020,787
1/12/2020,790
1/13/2020,785
1/14/2020,780
1/15/2020,780
1/16/2020,780
1/17/2020,783
1/18/2020,780
1/19/2020,780
1/20/2020,780
1/21/2020,780
1/22/2020,782
1/23/2020,782
1/24/2020,787
1/25/2020,787
1/26/2020,787
1/27/2020,787
1/28/2020,787
1/29/2020,789
1/30/2020,792
1/31/2020,796
2/1/2020,798
2/2/2020,798
2/3/2020,793
2/4/2020,783
2/5/2020,782
2/6/2020,783
2/7/2020,783
2/8/2020,784
2/9/2020,784
2/10/2020,785
2/11/2020,784
2/12/2020,784
2/13/2020,783
2/14/2020,783
2/15/2020,783
2/16/2020,786
2/17/2020,785
2/18/2020,794
2/19/2020,796
2/20/2020,799
2/21/2020,808
2/22/2020,809
2/23/2020,809
2/24/2020,827
2/25/2020,815
2/26/2020,814
2/27/2020,819
2/28/2020,791
2/29/2020,791
3/1/2020,791
3/2/2020,799
3/3/2020,815
3/4/2020,817
3/5/2020,824
3/6/2020,833
3/7/2020,824
3/8/2020,824
3/9/2020,834
3/10/2020,831
3/11/2020,830
3/12/2020,794
3/13/2020,794
3/14/2020,782
3/15/2020,802
3/16/2020,777
3/17/2020,780
3/18/2020,775
3/19/2020,767
3/20/2020,771
3/21/2020,769
3/22/2020,769
3/23/2020,780
3/24/2020,800
3/25/2020,805
3/26/2020,802
3/27/2020,802
3/28/2020,802
3/29/2020,802
3/30/2020,802
3/31/2020,783
4/1/2020,789
4/2/2020,787
4/3/2020,799
4/4/2020,799
4/5/2020,799
4/6/2020,815
4/7/2020,819
4/8/2020,817
4/9/2020,824
4/10/2020,835
4/11/2020,835
4/12/2020,837
4/13/2020,849
4/14/2020,854
4/15/2020,852
4/16/2020,857
4/17/2020,843
4/18/2020,837
4/19/2020,837
4/20/2020,834
4/21/2020,833
4/22/2020,850
4/23/2020,859
4/24/2020,859
4/25/2020,859
4/26/2020,859
4/27/2020,857
4/28/2020,850
4/29/2020,852
4/30/2020,846
5/1/2020,850
5/2/2020,849
5/3/2020,849
5/4/2020,852
5/5/2020,849
5/6/2020,852
5/7/2020,857
5/8/2020,855
5/9/2020,852
5/10/2020,852
5/11/2020,850
5/12/2020,852
5/13/2020,856
5/14/2020,860
5/15/2020,869
5/16/2020,865
5/17/2020,865
5/18/2020,865
5/19/2020,869
5/20/2020,874
5/21/2020,871
5/22/2020,872
5/23/2020,872
5/24/2020,872
5/25/2020,872
5/26/2020,872
5/27/2020,872
5/28/2020,872
5/29/2020,871
5/30/2020,871
5/31/2020,872
6/1/2020,874
6/2/2020,879
6/3/2020,878
6/4/2020,878
6/5/2020,878
6/6/2020,886
6/7/2020,886
6/8/2020,876
6/9/2020,878
6/10/2020,887
6/11/2020,886
6/12/2020,889
6/13/2020,889
6/14/2020,889
6/15/2020,882
6/16/2020,888
6/17/2020,884
6/18/2020,888
6/19/2020,893
6/20/2020,894
6/21/2020,894
