Date,avg_oil_price
1/1/2020,64.11
1/2/2020,64.11
1/3/2020,66.04
1/4/2020,66.04
1/5/2020,66.04
1/6/2020,66.76
1/7/2020,65.72
1/8/2020,63.48
1/9/2020,63.07
1/10/2020,62.895
1/11/2020,62.895
1/12/2020,62.895
1/13/2020,61.155
1/14/2020,61.395
1/15/2020,60.575
1/16/2020,61.575
1/17/2020,61.3
1/18/2020,61.3
1/19/2020,61.3
1/20/2020,61.59
1/21/2020,60.955
1/22/2020,59.435
1/23/2020,58.385
1/24/2020,56.715
1/25/2020,56.715
1/26/2020,56.715
1/27/2020,55.815
1/28/2020,56.35
1/29/2020,56.375
1/30/2020,54.955
1/31/2020,54.675
2/1/2020,54.675
2/2/2020,54.675
2/3/2020,52.03
2/4/2020,51.745
2/5/2020,53.115
2/6/2020,53.06
2/7/2020,52.435
2/8/2020,52.435
2/9/2020,52.435
2/10/2020,51.49
2/11/2020,52
2/12/2020,53.335
2/13/2020,53.875
2/14/2020,54.7
2/15/2020,54.7
2/16/2020,54.7
2/17/2020,54.93
2/18/2020,54.725
2/19/2020,56.515
2/20/2020,56.67
2/21/2020,55.98
2/22/2020,55.98
2/23/2020,55.98
2/24/2020,54.035
2/25/2020,52.535
2/26/2020,51.815
2/27/2020,49.68
2/28/2020,48.07
2/29/2020,48.07
3/1/2020,48.07
3/2/2020,49.65
3/3/2020,49.755
3/4/2020,49.32
3/5/2020,48.595
3/6/2020,43.37
3/7/2020,43.37
3/8/2020,43.37
3/9/2020,33.19
3/10/2020,35.02
3/11/2020,33.79
3/12/2020,31.29
3/13/2020,31.985
3/14/2020,31.985
3/15/2020,31.985
3/16/2020,28.47
3/17/2020,27.465
3/18/2020,21.635
3/19/2020,24.535
3/20/2020,22.515
3/21/2020,22.515
3/22/2020,22.515
3/23/2020,23.54
3/24/2020,22.765
3/25/2020,23.185
3/26/2020,20.075
3/27/2020,18.935
3/28/2020,18.935
3/29/2020,18.935
3/30/2020,16.645
3/31/2020,17.68
4/1/2020,17.625
4/2/2020,22.71
4/3/2020,26.345
4/4/2020,26.345
4/5/2020,26.345
4/6/2020,24.395
4/7/2020,22.82
4/8/2020,25.095
4/9/2020,21.565
4/10/2020,21.565
4/11/2020,21.565
4/12/2020,21.565
4/13/2020,21.295
4/14/2020,20.945
4/15/2020,19.88
4/16/2020,19.255
4/17/2020,19.03
4/18/2020,19.03
4/19/2020,19.03
4/20/2020,17.36
4/21/2020,9.015
4/22/2020,13.705
4/23/2020,15.06
4/24/2020,15.93
4/25/2020,15.93
4/26/2020,15.93
4/27/2020,13.67
4/28/2020,14
4/29/2020,16.45
4/30/2020,18.67
5/1/2020,19.105
5/2/2020,19.105
5/3/2020,19.105
5/4/2020,20.435
5/5/2020,25.01
5/6/2020,24.04
5/7/2020,23.955
5/8/2020,24.48
5/9/2020,24.48
5/10/2020,24.48
5/11/2020,24.775
5/12/2020,26.215
5/13/2020,26.63
5/14/2020,28.635
5/15/2020,30.195
5/16/2020,30.195
5/17/2020,30.195
5/18/2020,32.565
5/19/2020,32.68
5/20/2020,34.16
5/21/2020,34.54
5/22/2020,33.645
5/23/2020,33.645
5/24/2020,33.645
5/25/2020,33.645
5/26/2020,34.325
5/27/2020,32.765
5/28/2020,33.825
5/29/2020,34.86
5/30/2020,34.86
5/31/2020,34.86
6/1/2020,36.115
6/2/2020,37.3
6/3/2020,37.655
6/4/2020,37.915
6/5/2020,40.245
6/6/2020,40.245
6/7/2020,40.245
6/8/2020,38.915
6/9/2020,39.715
6/10/2020,40.36
6/11/2020,37.095
6/12/2020,37.39
6/13/2020,37.39
6/14/2020,37.39
6/15/2020,38.255
6/16/2020,39.505
6/17/2020,39.19
6/18/2020,40.27
6/19/2020,41.025
6/20/2020,41.025
6/21/2020,41.025
6/22/2020,41.9
6/23/2020,41.56
6/24/2020,39.155
6/25/2020,39.92
6/26/2020,39.75
6/27/2020,39.75
6/28/2020,39.75
6/29/2020,40.625
6/30/2020,40.455
7/1/2020,41.03
7/2/2020,41.88
7/3/2020,41.745
7/4/2020,41.745
7/5/2020,41.745
7/6/2020,41.62
7/7/2020,41.935
7/8/2020,42.29
7/9/2020,40.995
7/10/2020,41.915
7/11/2020,41.915
7/12/2020,41.915
7/13/2020,41.455
7/14/2020,41.635
7/15/2020,42.58
7/16/2020,42.225
7/17/2020,42.04
7/18/2020,42.04
7/19/2020,42.04
7/20/2020,42.065
7/21/2020,43.035
7/22/2020,42.93
7/23/2020,41.975
7/24/2020,42.26
7/25/2020,42.26
7/26/2020,42.26
7/27/2020,42.425
7/28/2020,42
7/29/2020,42.32
7/30/2020,41.415
7/31/2020,41.615
8/1/2020,41.615
8/2/2020,41.615
8/3/2020,42.295
8/4/2020,42.83
8/5/2020,43.585
8/6/2020,43.485
8/7/2020,42.615
8/8/2020,42.615
8/9/2020,42.615
8/10/2020,43.065
8/11/2020,42.605
8/12/2020,43.845
8/13/2020,43.565
8/14/2020,43.455
8/15/2020,43.455
8/16/2020,43.455
8/17/2020,43.9
8/18/2020,44.115
8/19/2020,44.06
8/20/2020,43.59
8/21/2020,43.13
8/22/2020,43.13
8/23/2020,43.13
8/24/2020,43.435
8/25/2020,44.59
8/26/2020,44.5
8/27/2020,43.86
8/28/2020,44.09
8/29/2020,44.09
8/30/2020,44.09
8/31/2020,43.915
9/1/2020,44.24
9/2/2020,42.73
9/3/2020,42.055
9/4/2020,40.395
9/5/2020,40.395
9/6/2020,40.395
9/7/2020,40.18
9/8/2020,37.7
9/9/2020,39.015
9/10/2020,38.26
9/11/2020,38.065
9/12/2020,38.065
9/13/2020,38.065
9/14/2020,37.9
9/15/2020,38.915
9/16/2020,40.7
9/17/2020,41.67
9/18/2020,41.625
9/19/2020,41.625
9/20/2020,41.625
9/21/2020,39.815
9/22/2020,40.195
9/23/2020,40.505
9/24/2020,40.675
9/25/2020,40.485
9/26/2020,40.485
9/27/2020,40.485
9/28/2020,41.03
9/29/2020,39.68
9/30/2020,40.175
10/1/2020,39.13
10/2/2020,37.45
10/3/2020,37.45
10/4/2020,37.45
10/5/2020,39.45
10/6/2020,40.895
10/7/2020,40.22
10/8/2020,41.52
10/9/2020,41.035
10/10/2020,41.035
10/11/2020,41.035
10/12/2020,39.86
10/13/2020,40.685
10/14/2020,41.335
10/15/2020,41.225
10/16/2020,41.02
10/17/2020,41.02
10/18/2020,41.02
10/19/2020,40.99
10/20/2020,41.495
10/21/2020,39.985
10/22/2020,40.87
10/23/2020,40.22
10/24/2020,40.22
10/25/2020,40.22
10/26/2020,38.725
10/27/2020,39.53
10/28/2020,37.565
10/29/2020,36.25
10/30/2020,35.985
10/31/2020,35.985
11/1/2020,35.985
11/2/2020,37.19
11/3/2020,37.805
11/4/2020,39.325
11/5/2020,39.015
11/6/2020,37.525
11/7/2020,37.525
11/8/2020,37.525
11/9/2020,40.49
11/10/2020,41.715
11/11/2020,41.865
11/12/2020,41.53
11/13/2020,40.72
11/14/2020,40.72
11/15/2020,40.72
11/16/2020,41.925
11/17/2020,41.89
11/18/2020,42.275
11/19/2020,42.33
11/20/2020,42.89
11/21/2020,42.89
11/22/2020,42.89
11/23/2020,43.955
11/24/2020,45.67
11/25/2020,46.44
11/26/2020,45.95
11/27/2020,46.23
11/28/2020,46.23
11/29/2020,46.23
11/30/2020,46.02
12/1/2020,45.785
12/2/2020,46.515
12/3/2020,47.01
12/4/2020,47.665
12/5/2020,47.665
12/6/2020,47.665
12/7/2020,47.175
12/8/2020,47.24
12/9/2020,47.145
12/10/2020,48.545
12/11/2020,48.3
12/12/2020,48.3
12/13/2020,48.3
12/14/2020,48.645
12/15/2020,49.175
12/16/2020,49.345
12/17/2020,49.77
12/18/2020,50.605
12/19/2020,50.605
12/20/2020,50.605
12/21/2020,49.2
12/22/2020,48.45
12/23/2020,49.495
12/24/2020,49.53
12/25/2020,49.53
12/26/2020,49.53
12/27/2020,49.53
12/28/2020,49.19
12/29/2020,49.145
12/30/2020,49.49
12/31/2020,49.785
1/1/2021,49.785
1/2/2021,49.785
1/3/2021,49.785
1/4/2021,48.92
1/5/2021,51.47
1/6/2021,52.125
1/7/2021,52.165
1/8/2021,53.825
1/9/2021,53.825
1/10/2021,53.825
1/11/2021,53.495
1/12/2021,54.53
1/13/2021,54.165
1/14/2021,54.615
1/15/2021,53.525
1/16/2021,53.525
1/17/2021,53.525
1/18/2021,53.23
1/19/2021,54.125
1/20/2021,54.41
1/21/2021,54.34
1/22/2021,53.75
1/23/2021,53.75
1/24/2021,53.75
1/25/2021,54.11
1/26/2021,53.935
1/27/2021,53.94
1/28/2021,53.565
1/29/2021,53.705
1/30/2021,53.705
1/31/2021,53.705
2/1/2021,54.985
2/2/2021,56.195
2/3/2021,57.14
2/4/2021,57.585
2/5/2021,58.14
2/6/2021,58.14
2/7/2021,58.14
2/8/2021,59.06
2/9/2021,59.54
2/10/2021,59.93
2/11/2021,59.655
2/12/2021,60.985
2/13/2021,60.985
2/14/2021,60.985
2/15/2021,61.54
2/16/2021,62.015
2/17/2021,63.055
2/18/2021,62.245
2/19/2021,60.98
2/20/2021,60.98
2/21/2021,60.98
2/22/2021,63.2
2/23/2021,63.41
2/24/2021,65.03
2/25/2021,65.06
2/26/2021,63.705
2/27/2021,63.705
2/28/2021,63.705
3/1/2021,62.55
3/2/2021,61.435
3/3/2021,63.015
3/4/2021,65.565
3/5/2021,68.015
3/6/2021,68.015
3/7/2021,68.015
3/8/2021,66.515
3/9/2021,65.525
3/10/2021,65.99
3/11/2021,67.68
3/12/2021,67.23
3/13/2021,67.23
3/14/2021,67.23
3/15/2021,67.07
3/16/2021,66.385
3/17/2021,66.14
3/18/2021,61.03
3/19/2021,62.715
3/20/2021,62.715
3/21/2021,62.715
3/22/2021,62.685
3/23/2021,58.855
3/24/2021,62.41
3/25/2021,59.84
3/26/2021,62.35
3/27/2021,62.35
3/28/2021,62.35
3/29/2021,62.775
3/30/2021,61.915
3/31/2021,61.355
4/1/2021,62.63
4/2/2021,62.63
4/3/2021,62.63
4/4/2021,62.63
4/5/2021,61.29
4/6/2021,60.405
4/7/2021,60.815
4/8/2021,60.85
4/9/2021,60.59
4/10/2021,60.59
4/11/2021,60.59
4/12/2021,61.04
4/13/2021,61.515
4/14/2021,64.63
4/15/2021,64.775
4/16/2021,64.57
4/17/2021,64.57
4/18/2021,64.57
4/19/2021,64.935
4/20/2021,63.975
4/21/2021,62.68
4/22/2021,63.26
4/23/2021,63.965
4/24/2021,63.965
4/25/2021,63.965
4/26/2021,63.76
4/27/2021,64.64
4/28/2021,65.445
4/29/2021,66.63
4/30/2021,65.615
5/1/2021,65.615
5/2/2021,65.615
5/3/2021,66.095
5/4/2021,67.315
5/5/2021,67.67
5/6/2021,66.675
5/7/2021,66.845
5/8/2021,66.845
5/9/2021,66.845
5/10/2021,66.765
5/11/2021,67.07
5/12/2021,67.79
5/13/2021,65.59
5/14/2021,67.28
5/15/2021,67.28
5/16/2021,67.28
5/17/2021,67.93
5/18/2021,67.25
5/19/2021,65.08
5/20/2021,63.565
5/21/2021,65.165
5/22/2021,65.165
5/23/2021,65.165
5/24/2021,67.36
5/25/2021,67.535
5/26/2021,67.67
5/27/2021,68.15
5/28/2021,67.835
5/29/2021,67.835
5/30/2021,67.835
5/31/2021,67.835
6/1/2021,68.915
6/2/2021,69.695
6/3/2021,69.76
6/4/2021,70.435
6/5/2021,70.435
6/6/2021,70.435
6/7/2021,70.05
6/8/2021,70.75
6/9/2021,70.605
6/10/2021,70.995
6/11/2021,71.525
6/12/2021,71.525
6/13/2021,71.525
6/14/2021,71.605
6/15/2021,72.72
6/16/2021,72.955
6/17/2021,71.99
6/18/2021,72.37
6/19/2021,72.37
6/20/2021,72.37
6/21/2021,74.065
6/22/2021,74.035
6/23/2021,74.165
6/24/2021,74.63
6/25/2021,75.33
6/26/2021,75.33
6/27/2021,75.33
6/28/2021,73.88
6/29/2021,74.26
6/30/2021,75.23
7/1/2021,76.01
7/2/2021,76.44
7/3/2021,76.44
7/4/2021,76.44
7/5/2021,76.855
7/6/2021,74.715
7/7/2021,73.265
7/8/2021,74.025
7/9/2021,75.85
7/10/2021,75.85
7/11/2021,75.85
7/12/2021,75.49
7/13/2021,76.37
7/14/2021,74.4
7/15/2021,73.1
7/16/2021,73.11
7/17/2021,73.11
7/18/2021,73.11
7/19/2021,67.89
7/20/2021,68.675
7/21/2021,71.4
7/22/2021,73.2
7/23/2021,73.55
7/24/2021,73.55
7/25/2021,73.55
7/26/2021,73.47
7/27/2021,73.275
7/28/2021,73.73
7/29/2021,74.96
7/30/2021,75.825
7/31/2021,75.825
8/1/2021,75.825
8/2/2021,72.61
8/3/2021,71.94
8/4/2021,69.59
8/5/2021,70.62
8/6/2021,69.64
8/7/2021,69.64
8/8/2021,69.64
8/9/2021,68.105
8/10/2021,69.735
8/11/2021,70.645
8/12/2021,70.455
8/13/2021,69.63
8/14/2021,69.63
8/15/2021,69.63
8/16/2021,68.755
8/17/2021,67.95
8/18/2021,66.985
8/19/2021,65.245
8/20/2021,63.88
8/21/2021,63.88
8/22/2021,63.88
8/23/2021,67.36
8/24/2021,69.355
8/25/2021,70.33
8/26/2021,68.92
8/27/2021,70.55
8/28/2021,70.55
8/29/2021,70.55
8/30/2021,70.77
8/31/2021,70.94
9/1/2021,70.31
9/2/2021,71.815
9/3/2021,71.205
9/4/2021,71.205
9/5/2021,71.205
9/6/2021,70.885
9/7/2021,70.005
9/8/2021,70.86
9/9/2021,69.79
9/10/2021,71.13
9/11/2021,71.13
9/12/2021,71.13
9/13/2021,71.755
9/14/2021,71.79
9/15/2021,73.715
9/16/2021,73.915
9/17/2021,73.365
9/18/2021,73.365
9/19/2021,73.365
9/20/2021,72
9/21/2021,72.08
9/22/2021,73.935
9/23/2021,74.935
9/24/2021,75.8
9/25/2021,75.8
9/26/2021,75.8
9/27/2021,77.195
9/28/2021,76.87
9/29/2021,76.46
9/30/2021,76.515
10/1/2021,77.705
10/2/2021,77.705
10/3/2021,77.705
10/4/2021,79.56
10/5/2021,80.945
10/6/2021,79.525
10/7/2021,80.4
10/8/2021,80.86
10/9/2021,80.86
10/10/2021,80.86
10/11/2021,82.195
10/12/2021,82.14
10/13/2021,82.1
10/14/2021,82.645
10/15/2021,83.53
10/16/2021,83.53
10/17/2021,83.53
10/18/2021,83.375
10/19/2021,84.105
10/20/2021,85.08
10/21/2021,83.61
10/22/2021,84.98
10/23/2021,84.98
10/24/2021,84.98
10/25/2021,84.745
10/26/2021,85.375
10/27/2021,83.39
10/28/2021,83.09
10/29/2021,83.3
10/30/2021,83.3
10/31/2021,83.3
11/1/2021,84.295
11/2/2021,84.165
11/3/2021,80.96
11/4/2021,79.515
11/5/2021,81.84
11/6/2021,81.84
11/7/2021,81.84
11/8/2021,82.59
11/9/2021,84.32
11/10/2021,82.07
11/11/2021,82.435
11/12/2021,81.885
11/13/2021,81.885
11/14/2021,81.885
11/15/2021,81.395
11/16/2021,81.805
11/17/2021,79.495
11/18/2021,80.685
11/19/2021,78.175
11/20/2021,78.175
11/21/2021,78.175
11/22/2021,78.855
11/23/2021,80.875
11/24/2021,80.345
11/25/2021,80.185
11/26/2021,75.345
11/27/2021,75.345
11/28/2021,75.345
11/29/2021,71.61
11/30/2021,68.5
12/1/2021,67.485
12/2/2021,68.58
12/3/2021,68.55
12/4/2021,68.55
12/5/2021,68.55
12/6/2021,71.5
12/7/2021,73.74
12/8/2021,74.185
12/9/2021,72.485
12/10/2021,73.345
12/11/2021,73.345
12/12/2021,73.345
12/13/2021,72.655
12/14/2021,71.97
12/15/2021,72.3
12/16/2021,73.49
12/17/2021,71.95
12/18/2021,71.95
12/19/2021,71.95
12/20/2021,69.6
12/21/2021,71.975
12/22/2021,73.755
12/23/2021,75.075
12/24/2021,74.565
12/25/2021,74.565
12/26/2021,74.565
12/27/2021,75.365
12/28/2021,75.625
12/29/2021,77.605
12/30/2021,77.72
12/31/2021,76.285
1/1/2022,76.285
1/2/2022,76.285
1/3/2022,77.12
1/4/2022,78.195
1/5/2022,79.215
1/6/2022,80.73
